id;type;capacity;latitude;longitude;city_id
51;traditional;5;46.0645922;11.1213825;1
56;traditional;12;46.0710322;11.1211735;1
438;traditional;4;46.0168867;11.1056528;1
57;traditional;5;46.0744735;11.1230446;1
404;traditional;4;46.0025434;11.1281997;1
405;traditional;8;46.0060947;11.1281832;1
406;traditional;4;46.0059517;11.1283131;1
68;traditional;10;46.0968951;11.1157974;1
355;traditional;5;46.0732637;11.0602337;1
63;frame lock;18;46.0839748;11.1195130;1
64;frame lock;58;46.0836861;11.1196728;1
75;traditional;14;46.0597382;11.1211970;1
70;traditional;20;46.0984599;11.1161777;1
356;traditional;5;46.0732636;11.0602425;1
103;frame lock;6;46.0716108;11.1193159;1
71;traditional;10;46.0974900;11.1190432;1
357;traditional;5;46.0732634;11.0602517;1
358;traditional;5;46.0732634;11.0602605;1
359;traditional;5;46.0732635;11.0602693;1
400;traditional;5;46.0732632;11.0603613;1
69;traditional;20;46.0984922;11.1140231;1
401;traditional;5;46.0732628;11.0603706;1
402;traditional;5;46.0732623;11.0603788;1
442;traditional;6;46.0651277;11.1218957;1
443;traditional;21;46.0651684;11.1218965;1
107;frame lock;14;46.0728884;11.1231485;1
444;traditional;12;46.0651783;11.1219279;1
76;traditional;15;46.0597474;11.1213164;1
100;traditional;20;46.0724883;11.1201553;1
101;frame lock;42;46.0720941;11.1198501;1
102;frame lock;18;46.0719166;11.1197269;1
104;frame lock;4;46.0715952;11.1193238;1
67;traditional;6;46.1000082;11.1018332;1
72;traditional;4;46.0738262;11.1228762;1
73;traditional;8;46.0652262;11.1194044;1
54;traditional;8;46.0699070;11.1177246;1
299;frame lock;6;46.0906767;11.1175976;1
66;traditional;12;46.0997086;11.1025840;1
105;traditional;8;46.0711283;11.1235996;1
106;traditional;8;46.0733404;11.1216536;1
407;traditional;6;46.0060334;11.1280901;1
164;frame lock;5;46.0595951;11.1147456;1
408;frame lock;10;46.0062174;11.1286256;1
165;frame lock;5;46.0594260;11.1147691;1
410;traditional;7;46.0064673;11.1308263;1
157;traditional;18;46.0667046;11.1151935;1
158;traditional;6;46.0663006;11.1146061;1
