id;access;fee;capacity;type;latitude;longitude;city_id
way/114571763;public;no;-1;surface;46.1079543;11.1084185;1
way/115788512;public;no;-1;surface;46.0734572;11.1282211;1
way/115788580;customers;no;-1;surface;46.0740118;11.1341694;1
way/115889064;customers;no;-1;rooftop;46.0945465;11.1164953;1
way/115889066;customers;no;-1;surface;46.0942439;11.1147126;1
way/115889075;customers;no;-1;surface;46.0905438;11.1172032;1
way/115889077;customers;no;-1;surface;46.0947592;11.1164317;1
way/116236221;no;no;-1;surface;46.0573173;11.1326409;1
way/118389119;permissive;no;-1;surface;46.0426242;11.1197571;1
way/118610898;customers;no;-1;street_side;46.0405027;11.1327573;1
way/122798400;public;no;-1;surface;46.0509413;11.0730792;1
way/126733763;public;no;-1;surface;46.1043203;11.1131303;1
way/128870259;public;no;-1;surface;46.0508466;11.1251093;1
way/129108013;customers;no;-1;surface;46.0908047;11.1144855;1
way/129645847;public;no;-1;surface;46.0361604;11.1543504;1
way/129645848;public;no;-1;street_side;46.0363523;11.1541955;1
way/130274467;public;no;-1;street_side;46.0434018;11.1215609;1
way/132574806;customers;no;-1;surface;46.0452606;11.1210435;1
way/132574817;public;no;59;surface;46.038335;11.1240031;1
way/134078901;public;no;-1;surface;46.0821421;11.1169843;1
way/144908834;customers;no;-1;surface;46.0859116;11.1197568;1
way/145481077;customers;no;-1;surface;46.0978947;11.1119092;1
way/145485344;public;no;-1;surface;46.0835417;11.1177051;1
way/145485640;public;no;7;street_side;46.0815807;11.1183447;1
way/147695159;customers;no;-1;surface;46.017255;11.1074921;1
way/151151178;permissive;no;-1;surface;46.0738221;11.1251138;1
way/151527794;public;no;-1;surface;46.0583241;11.1385497;1
way/155352237;customers;no;-1;street_side;46.0937652;11.11538;1
way/155352240;customers;no;-1;surface;46.0936863;11.1168696;1
way/155428163;customers;no;-1;surface;46.0733479;11.1263171;1
way/158449762;public;no;-1;surface;46.0548741;11.1201834;1
way/164729699;public;no;-1;surface;46.0890425;11.161478;1
way/165289466;customers;no;-1;surface;46.1028732;11.1026;1
way/165289467;customers;no;-1;surface;46.1027864;11.1025272;1
way/166117064;public;no;-1;surface;46.1010294;11.109031;1
way/167045990;public;no;4;lane;46.0749474;11.1250392;1
way/167305873;customers;no;-1;surface;46.0608419;11.1192185;1
way/169612510;public;no;7;street_side;46.0792946;11.1379981;1
way/169612514;public;no;-1;surface;46.0768753;11.1348601;1
way/171274856;public;yes;-1;surface;46.0227054;11.0405884;1
way/173955985;customers;no;-1;rooftop;46.0448296;11.1294516;1
way/189253191;permissive;no;-1;surface;46.0705913;11.1127458;1
way/189295591;public;no;-1;surface;46.0673236;11.161253;1
way/197526177;public;no;13;surface;46.0094255;11.1239805;1
way/197526178;public;no;48;surface;46.0060913;11.1295597;1
way/198343698;public;no;-1;surface;46.0819124;11.0455363;1
way/198343700;public;no;-1;surface;46.0813736;11.0451148;1
way/199697054;customers;no;-1;street_side;46.0926419;11.1182255;1
way/199697055;customers;no;-1;street_side;46.0921747;11.1173976;1
way/199697056;customers;no;-1;street_side;46.0923598;11.1181282;1
way/199697058;customers;no;-1;surface;46.0923751;11.1168393;1
way/201619625;customers;no;-1;surface;46.0642091;11.1542091;1
way/201619627;public;no;-1;surface;46.0642402;11.1521295;1
way/209586632;no;no;-1;surface;46.0573757;11.1331677;1
way/214754045;public;no;-1;street_side;46.0772065;11.1318407;1
way/215666956;public;yes;-1;surface;46.0240496;11.0400514;1
way/215666957;public;yes;-1;surface;46.023973;11.0404532;1
way/217012088;public;no;-1;surface;46.1271643;11.0968941;1
way/217201801;customers;no;-1;surface;46.1036624;11.1100312;1
way/222163030;customers;no;-1;surface;46.1036275;11.1083923;1
way/222747451;public;yes;3;street_side;46.0743366;11.1232049;1
way/222947771;customers;no;-1;surface;46.0712176;11.1296804;1
way/230190544;public;no;-1;street_side;46.0480192;11.1314451;1
way/230190545;customers;no;-1;street_side;46.0473342;11.1314599;1
way/230190547;customers;no;-1;street_side;46.0472613;11.1322654;1
way/230190548;customers;no;-1;street_side;46.0475812;11.1319015;1
way/230190550;customers;no;-1;street_side;46.0472451;11.1318693;1
