WKT;id;zona;tipologia;n_posti;fumetto;anno;nr_moduli;tot_bici;foto;codice_via;civico;barra;edificio;Tipo_generale;categoria
"LINESTRING (664321.9484375 5103436.93375004,664322.001354167 5103437.60843754)";"281";S. GIUSEPPE_s. CHIARA;Rotonda 8 posti;"8";;"2022";"1";"8";281.jpg;"2290";"1";;"CONSERVATORIO MUSICA ""F.A. BONPORTI""";Rastr_tradizionale;SCUOLA
"LINESTRING (664322.299010417 5103439.77140629,664322.32546875 5103440.45932296)";"283";S. GIUSEPPE_S. CHIARA;Rotonda 8 posti;"8";;"2022";"1";"8";283.jpg;"2290";"1";;"CONSERVATORIO MUSICA ""F.A. BONPORTI""";Rastr_tradizionale;SCUOLA
"LINESTRING (663775.115399991 5110514.2694134,663776.899499303 5110513.69595291)";"348";MEANO;A pavimento 6 posti;"6";;"2023";"1";"6";348.JPG;"8419";"9";;;Rastr_tradizionale;
"LINESTRING (664281.2334523 5103571.87269485,664280.666133781 5103574.9929467)";"30";ZTL;Metallo 4 posti;"4";PIAZZA G.B. GARZETTI - nr. posti 8;"2022";"2";"8";30.jpg;"1260";"22";;;Rastr_tradizionale;
"LINESTRING (664374.800416648 5104235.47333339,664375.488333315 5104233.03916672)";"457";CENTRO STORICO-PIEDICASTELLO;Archetto;"2";;"2024";"6";"12";457.JPG;"1990";"33";;;Rastr_bloccatelaio;
"LINESTRING (664410.711250013 5104118.82166669,664410.60541668 5104115.54083335)";"458";CENTRO STORICO-PIEDICASTELLO;Archetto;"2";;"2024";"10";"20";458.JPG;"2000";"1";;;Rastr_bloccatelaio;
"LINESTRING (664344.149865301 5103441.84467645,664362.288408003 5103437.64309311)";"49";S. GIUSEPPE_S.CHIARA;Archetto;"2";VIA SAN GIOVANNI BOSCO - nr. posti 17;"2022";"17";"34";49.jpg;"2780";"6";;"SCUOLA PRIMARIA ""F. CRISPI""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (664319.021183668 5103779.36941545,664318.514048521 5103773.67299043)";"21";ZTL;Verona 90;"6";VIA DELLA ROGGIA GRANDE - nr. posti 12;"2022";"2";"12";21.jpg;"2620";"9";;;Rastr_bloccatelaio;
"LINESTRING (664377.147666149 5103434.4662862,664390.162326731 5103431.49443457)";"50";S. GIUSEPPE_S.CHIARA;Archetto;"2";VIA SAN GIOVANNI BOSCO - nr. posti 12;"2022";"12";"24";50.jpg;"2780";"8";;"SCUOLA PRIMARIA ""F. CRISPI""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (664514.912872771 5102023.41564459,664513.593044981 5102023.42227676)";"313";OLTREFERSINA;Metallo 4 posti;"4";;"2022";"3";"12";313.jpg;"1050";"13";;"SCUOLA PRIMARIA ""CLARINA""";Rastr_tradizionale;SCUOLA
"LINESTRING (664597.659206463 5102042.8911641,664599.019500543 5102042.8911641)";"314";OLTREFERSINA;Metallo 4 posti;"4";;"2022";"2";"8";314.jpg;"1050";"11";;"SCUOLA INFANZIA ""PICCOLO MODNO""";Rastr_tradizionale;SCUOLA
"LINESTRING (663903.463824537 5106055.64357979,663906.138879412 5106056.17774286)";"328";CENTRO STORICO_PIEDICASTELLO;Bronzetti 5 posti;"5";;"2022";"1";"5";328.jpg;"3150";"22";;"SCUOLA PRIMARIA ""A. GORFER""";Rastr_tradizionale;SCUOLA
"LINESTRING (659307.356278466 5104078.85501006,659308.783872427 5104079.20517462)";"353";BONDONE;Metallo 5 posti;"5";;"2023";"1";"5";"353";"8039";"4";;BIBLIOTECA COMUNALE;Rastr_tradizionale;
"LINESTRING (659720.49658364 5106034.48365439,659722.543699509 5106036.26141291)";"351";BONDONE;Archetto;"2";;"2023";"7";"14";351.jpg;"8122";"7";;"SCUOLA PRIMARIA ""CADINE""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (662495.764863445 5105255.38978471,662497.931269752 5105255.32606688)";"325";CENTRO STORICO_PIEDICASTELLO;Vela;"4";;"2023";"1";"4";325.JPG;"3390";"4";;;Rastr_tradizionale;
"LINESTRING (664826.045471499 5110971.47672101,664826.364060661 5110969.75633953)";"350";MEANO;Rotonda 6 posti;"6";;"2023";"1";"6";350.JPG;"8546";;;;Rastr_tradizionale;
"LINESTRING (663496.445459243 5110174.55778905,663497.687956978 5110174.71708363)";"347";MEANO;Archetto;"2";;"2023";"3";"6";347.JPG;"8534";"38";;;Rastr_bloccatelaio;
"LINESTRING (659315.841035027 5104251.01476104,659316.231603186 5104251.02822891)";"354";SOPRAMONTE;Androna;"5";;"2023";"1";"5";354.JPG;"8072";"1";;"SCUOLA PRIMARIA ""S. PERTINI""";Rastr_tradizionale;SCUOLA
"LINESTRING (663424.469438442 5110090.77188124,663424.667932374 5110088.98543586)";"453";MEANO;Canova;"6";;"2024";"1";"6";453.JPG;"8470";"40";;"SCUOLA PRIMARIA ""E. DE CARLI""";Rastr_tradizionale;SCUOLA
"LINESTRING (664320.176781728 5103546.47633166,664322.871544691 5103546.65361869)";"32";ZTL;Metallo 4 posti;"4";PIAZZA G.B. GARZETTI - nr. posti 8;"2022";"2";"8";32.jpg;"1260";"3";;;Rastr_tradizionale;
"LINESTRING (664239.929488889 5103535.0985,664243.120655555 5103535.24032963)";"29";ZTL;Androna;"5";II ANDRONA BORGONUOVO - nr. posti 10;"2022";"2";"10";29.jpg;"380";"13";;;Rastr_tradizionale;
