id;type;capacity;latitude;longitude
264;tradizionale;6;46.0610566;11.1249376
265;tradizionale;8;46.0609113;11.1250897
266;tradizionale;8;46.0600593;11.1262063
268;tradizionale;4;46.0606659;11.1233547
267;tradizionale;8;46.0606743;11.1234456
271;tradizionale;12;46.0624128;11.1256809
272;tradizionale;8;46.0605533;11.1271301
255;tradizionale;9;46.0634264;11.1241814
256;tradizionale;7;46.0634634;11.1241907
462;tradizionale;4;46.0688027;11.1132163
463;tradizionale;4;46.1004034;11.1172721
466;tradizionale;4;46.1003172;11.1173351
467;tradizionale;4;46.1003103;11.1172872
468;bloccatelaio;4;46.1004437;11.1170274
469;bloccatelaio;6;46.1004995;11.1169946
470;bloccatelaio;8;46.0884495;11.1334162
460;bloccatelaio;8;46.0892147;11.1338319
262;tradizionale;6;46.0632456;11.1243794
275;tradizionale;8;46.0641806;11.1290176
278;tradizionale;8;46.0627281;11.1324147
279;tradizionale;3;46.0613808;11.1285536
246;tradizionale;5;46.0991179;11.1099429
247;tradizionale;5;46.0991863;11.1099239
285;tradizionale;5;46.1011710;11.1181662
287;tradizionale;6;46.1206115;11.0919620
288;tradizionale;6;46.1205758;11.0920194
289;tradizionale;6;46.1207416;11.0920554
290;tradizionale;6;46.1207896;11.0922461
291;tradizionale;6;46.1207740;11.0922629
295;tradizionale;10;46.0800004;11.1185933
296;tradizionale;10;46.0800068;11.1186101
297;tradizionale;5;46.0801680;11.1184727
300;tradizionale;12;46.0672516;11.1241706
286;tradizionale;4;46.1072336;11.1127589
292;tradizionale;6;46.0823889;11.1182014
293;tradizionale;8;46.0813971;11.1181484
298;bloccatelaio;6;46.0906655;11.1176166
62;bloccatelaio;6;46.0906735;11.1176377
61;bloccatelaio;6;46.0906912;11.1176384
294;tradizionale;5;46.0814337;11.1178888
471;bloccatelaio;6;46.0670923;11.1282902
473;bloccatelaio;10;46.0667844;11.1290639
474;bloccatelaio;24;46.0667514;11.1294515
472;bloccatelaio;6;46.0670565;11.1284635
277;bloccatelaio;18;46.0650520;11.1357671
276;bloccatelaio;10;46.0648919;11.1356925
306;tradizionale;8;46.0591201;11.1264822
307;bloccatelaio;14;46.0532114;11.1162551
308;tradizionale;4;46.0531980;11.1162110
315;tradizionale;7;46.0516874;11.1276478
274;tradizionale;4;46.0670615;11.1236034
316;tradizionale;7;46.0516400;11.1277604
317;tradizionale;3;46.0633099;11.0971197
324;tradizionale;5;46.0406970;11.1233200
319;tradizionale;6;46.0478969;11.1291708
303;tradizionale;10;46.0593263;11.1242605
304;tradizionale;5;46.0593391;11.1243167
318;tradizionale;4;46.0479398;11.1243371
326;bloccatelaio;20;46.0345420;11.1277057
25;tradizionale;60;46.0669415;11.1230519
334;bloccatelaio;6;46.0673524;11.1220926
327;tradizionale;7;46.0398841;11.1340017
335;bloccatelaio;6;46.0673710;11.1220872
333;bloccatelaio;6;46.0673887;11.1220830
332;tradizionale;12;46.0667592;11.1189375
336;tradizionale;4;46.0694036;11.1263227
320;tradizionale;8;46.0448002;11.1212091
321;tradizionale;12;46.0406630;11.1233918
322;tradizionale;5;46.0406444;11.1233167
323;tradizionale;7;46.0406719;11.1233185
305;tradizionale;21;46.0593644;11.1244300
280;tradizionale;10;46.0647446;11.1246324
301;tradizionale;21;46.0588912;11.1244360
302;tradizionale;7;46.0588830;11.1244071
309;bloccatelaio;16;46.0557976;11.1296822
310;tradizionale;5;46.0558167;11.1297759
311;bloccatelaio;16;46.0557518;11.1294348
312;tradizionale;8;46.0519186;11.1267404
461;bloccatelaio;16;46.0802454;11.1181613
475;bloccatelaio;10;46.0434344;11.1205093
476;bloccatelaio;10;46.0773722;11.1182073
477;bloccatelaio;10;46.0723833;11.1170621
480;bloccatelaio;8;46.0728449;11.1266570
478;bloccatelaio;10;46.0735201;11.1172167
482;bloccatelaio;24;46.0698066;11.1276850
483;bloccatelaio;10;46.0592535;11.1212375
481;bloccatelaio;8;46.0620294;11.1238448
479;bloccatelaio;16;46.0731707;11.1187085
484;bloccatelaio;30;46.0734673;11.1172788
485;bloccatelaio;6;46.0398994;11.1315139
486;bloccatelaio;6;46.0403009;11.1318117
487;bloccatelaio;8;46.0761150;11.1231575
